sample id,region id,cell id,movie id,global_start_frame,path
20250722-2,0,65,1,20,20250722-2/000065-1.npy
20250722-2,0,65,2,40,20250722-2/000065-2.npy
20250722-2,0,66,0,0,20250722-2/000066-0.npy
20250722-2,0,66,1,20,20250722-2/000066-1.npy
20250722-2,0,66,2,40,20250722-2/000066-2.npy
20250722-2,0,67,0,0,20250722-2/000067-0.npy
20250722-2,0,67,1,20,20250722-2/000067-1.npy
20250722-2,0,67,2,40,20250722-2/000067-2.npy
20250722-2,0,68,0,0,20250722-2/000068-0.npy
20250722-2,0,68,1,20,20250722-2/000068-1.npy
20250722-2,0,68,2,40,20250722-2/000068-2.npy
20250722-2,0,69,0,0,20250722-2/000069-0.npy
20250722-2,0,69,1,20,20250722-2/000069-1.npy
20250722-2,0,69,2,40,20250722-2/000069-2.npy
20250722-2,0,70,0,0,20250722-2/000070-0.npy
20250722-2,0,70,1,20,20250722-2/000070-1.npy
20250722-2,0,70,2,40,20250722-2/000070-2.npy
20250722-2,0,71,0,0,20250722-2/000071-0.npy
20250722-2,0,71,1,20,20250722-2/000071-1.npy
20250722-2,0,71,2,40,20250722-2/000071-2.npy
20250722-2,0,72,0,0,20250722-2/000072-0.npy
20250722-2,0,72,1,20,20250722-2/000072-1.npy
20250722-2,0,72,2,40,20250722-2/000072-2.npy
20250722-2,0,73,0,0,20250722-2/000073-0.npy
20250722-2,0,73,1,20,20250722-2/000073-1.npy
20250722-2,0,73,2,40,20250722-2/000073-2.npy
20250722-2,0,74,0,0,20250722-2/000074-0.npy
20250722-2,0,74,1,20,20250722-2/000074-1.npy
20250722-2,0,74,2,40,20250722-2/000074-2.npy
20250722-2,0,75,0,0,20250722-2/000075-0.npy
20250722-2,0,75,1,20,20250722-2/000075-1.npy
20250722-2,0,75,2,40,20250722-2/000075-2.npy
20250722-2,0,76,0,0,20250722-2/000076-0.npy
20250722-2,0,76,1,20,20250722-2/000076-1.npy
20250722-2,0,76,2,40,20250722-2/000076-2.npy
20250722-2,0,77,0,0,20250722-2/000077-0.npy
20250722-2,0,77,1,20,20250722-2/000077-1.npy
20250722-2,0,77,2,40,20250722-2/000077-2.npy
20250722-2,0,78,0,0,20250722-2/000078-0.npy
20250722-2,0,78,1,20,20250722-2/000078-1.npy
20250722-2,0,78,2,40,20250722-2/000078-2.npy
20250722-2,1,79,0,60,20250722-2/000079-0.npy
20250722-2,1,79,1,80,20250722-2/000079-1.npy
20250722-2,1,79,2,100,20250722-2/000079-2.npy
20250722-2,1,80,0,60,20250722-2/000080-0.npy
20250722-2,1,80,1,80,20250722-2/000080-1.npy
20250722-2,1,80,2,100,20250722-2/000080-2.npy
20250722-2,1,81,0,60,20250722-2/000081-0.npy
20250722-2,1,81,1,80,20250722-2/000081-1.npy
20250722-2,1,81,2,100,20250722-2/000081-2.npy
20250722-2,1,82,0,60,20250722-2/000082-0.npy
20250722-2,1,82,1,80,20250722-2/000082-1.npy
20250722-2,1,82,2,100,20250722-2/000082-2.npy
20250722-2,1,83,0,60,20250722-2/000083-0.npy
20250722-2,1,83,1,80,20250722-2/000083-1.npy
20250722-2,1,83,2,100,20250722-2/000083-2.npy
20250722-2,1,84,0,60,20250722-2/000084-0.npy
20250722-2,1,84,1,80,20250722-2/000084-1.npy
20250722-2,1,84,2,100,20250722-2/000084-2.npy
20250722-2,1,85,0,60,20250722-2/000085-0.npy
20250722-2,1,85,1,80,20250722-2/000085-1.npy
20250722-2,1,85,2,100,20250722-2/000085-2.npy
20250722-2,1,86,0,60,20250722-2/000086-0.npy
20250722-2,1,86,1,80,20250722-2/000086-1.npy
20250722-2,1,86,2,100,20250722-2/000086-2.npy
20250722-2,1,87,0,60,20250722-2/000087-0.npy
20250722-2,1,87,1,80,20250722-2/000087-1.npy
20250722-2,1,87,2,100,20250722-2/000087-2.npy
20250722-2,1,88,0,60,20250722-2/000088-0.npy
20250722-2,1,88,1,80,20250722-2/000088-1.npy
20250722-2,1,88,2,100,20250722-2/000088-2.npy
20250722-2,1,89,0,60,20250722-2/000089-0.npy
20250722-2,1,89,1,80,20250722-2/000089-1.npy
20250722-2,1,89,2,100,20250722-2/000089-2.npy
20250722-2,1,90,0,60,20250722-2/000090-0.npy
20250722-2,1,90,1,80,20250722-2/000090-1.npy
20250722-2,1,90,2,100,20250722-2/000090-2.npy
20250722-2,1,91,0,60,20250722-2/000091-0.npy
20250722-2,1,91,1,80,20250722-2/000091-1.npy
20250722-2,1,91,2,100,20250722-2/000091-2.npy
20250722-2,1,92,0,60,20250722-2/000092-0.npy
20250722-2,1,92,1,80,20250722-2/000092-1.npy
20250722-2,1,92,2,100,20250722-2/000092-2.npy
20250722-2,1,93,0,60,20250722-2/000093-0.npy
20250722-2,1,93,1,80,20250722-2/000093-1.npy
20250722-2,1,93,2,100,20250722-2/000093-2.npy
20250722-2,1,94,0,60,20250722-2/000094-0.npy
20250722-2,1,94,1,80,20250722-2/000094-1.npy
20250722-2,1,94,2,100,20250722-2/000094-2.npy
20250722-2,1,95,0,60,20250722-2/000095-0.npy
20250722-2,1,95,1,80,20250722-2/000095-1.npy
20250722-2,1,95,2,100,20250722-2/000095-2.npy
20250722-2,1,96,0,60,20250722-2/000096-0.npy
20250722-2,1,96,1,80,20250722-2/000096-1.npy
20250722-2,1,96,2,100,20250722-2/000096-2.npy
20250722-2,1,97,0,60,20250722-2/000097-0.npy
20250722-2,1,97,1,80,20250722-2/000097-1.npy
20250722-2,1,97,2,100,20250722-2/000097-2.npy
20250722-2,1,98,0,60,20250722-2/000098-0.npy
20250722-2,1,98,1,80,20250722-2/000098-1.npy
20250722-2,1,98,2,100,20250722-2/000098-2.npy
20250722-2,1,99,0,60,20250722-2/000099-0.npy
20250722-2,1,99,1,80,20250722-2/000099-1.npy
20250722-2,1,99,2,100,20250722-2/000099-2.npy
20250722-2,1,100,0,60,20250722-2/000100-0.npy
20250722-2,1,100,1,80,20250722-2/000100-1.npy
20250722-2,1,100,2,100,20250722-2/000100-2.npy
20250722-2,1,101,0,60,20250722-2/000101-0.npy
20250722-2,1,101,1,80,20250722-2/000101-1.npy
20250722-2,1,101,2,100,20250722-2/000101-2.npy
20250722-2,1,102,0,60,20250722-2/000102-0.npy
20250722-2,1,102,1,80,20250722-2/000102-1.npy
20250722-2,1,102,2,100,20250722-2/000102-2.npy
20250722-2,1,103,0,60,20250722-2/000103-0.npy
20250722-2,1,103,1,80,20250722-2/000103-1.npy
20250722-2,1,103,2,100,20250722-2/000103-2.npy
20250722-2,1,104,0,60,20250722-2/000104-0.npy
20250722-2,1,104,1,80,20250722-2/000104-1.npy
20250722-2,1,104,2,100,20250722-2/000104-2.npy
20250722-2,1,105,0,60,20250722-2/000105-0.npy
20250722-2,1,105,1,80,20250722-2/000105-1.npy
20250722-2,1,105,2,100,20250722-2/000105-2.npy
20250722-2,1,106,0,60,20250722-2/000106-0.npy
20250722-2,1,106,1,80,20250722-2/000106-1.npy
20250722-2,1,106,2,100,20250722-2/000106-2.npy
20250722-2,1,107,0,60,20250722-2/000107-0.npy
20250722-2,1,107,1,80,20250722-2/000107-1.npy
20250722-2,1,107,2,100,20250722-2/000107-2.npy
20250722-2,1,108,0,60,20250722-2/000108-0.npy
20250722-2,1,108,1,80,20250722-2/000108-1.npy
20250722-2,1,108,2,100,20250722-2/000108-2.npy
20250722-2,1,109,0,60,20250722-2/000109-0.npy
20250722-2,1,109,1,80,20250722-2/000109-1.npy
20250722-2,1,109,2,100,20250722-2/000109-2.npy
20250722-2,1,110,0,60,20250722-2/000110-0.npy
20250722-2,1,110,1,80,20250722-2/000110-1.npy
20250722-2,1,110,2,100,20250722-2/000110-2.npy
20250722-2,1,111,0,60,20250722-2/000111-0.npy
20250722-2,1,111,1,80,20250722-2/000111-1.npy
20250722-2,1,111,2,100,20250722-2/000111-2.npy
20250722-2,1,112,0,60,20250722-2/000112-0.npy
20250722-2,1,112,1,80,20250722-2/000112-1.npy
20250722-2,1,112,2,100,20250722-2/000112-2.npy
20250722-2,1,113,0,60,20250722-2/000113-0.npy
20250722-2,1,113,1,80,20250722-2/000113-1.npy
20250722-2,1,113,2,100,20250722-2/000113-2.npy
20250722-2,1,114,0,60,20250722-2/000114-0.npy
20250722-2,1,114,1,80,20250722-2/000114-1.npy
20250722-2,1,114,2,100,20250722-2/000114-2.npy
20250722-2,1,115,0,60,20250722-2/000115-0.npy
20250722-2,1,115,1,80,20250722-2/000115-1.npy
20250722-2,1,115,2,100,20250722-2/000115-2.npy
20250722-2,1,116,0,60,20250722-2/000116-0.npy
20250722-2,1,116,1,80,20250722-2/000116-1.npy
20250722-2,1,116,2,100,20250722-2/000116-2.npy
20250722-2,1,117,0,60,20250722-2/000117-0.npy
20250722-2,1,117,1,80,20250722-2/000117-1.npy
20250722-2,1,117,2,100,20250722-2/000117-2.npy
20250722-2,1,118,0,60,20250722-2/000118-0.npy
20250722-2,1,118,1,80,20250722-2/000118-1.npy
20250722-2,1,118,2,100,20250722-2/000118-2.npy
20250722-2,1,119,0,60,20250722-2/000119-0.npy
20250722-2,1,119,1,80,20250722-2/000119-1.npy
20250722-2,1,119,2,100,20250722-2/000119-2.npy
20250722-2,1,120,0,60,20250722-2/000120-0.npy
20250722-2,1,120,1,80,20250722-2/000120-1.npy
20250722-2,1,120,2,100,20250722-2/000120-2.npy
20250722-2,1,121,0,60,20250722-2/000121-0.npy
20250722-2,1,121,1,80,20250722-2/000121-1.npy
20250722-2,1,121,2,100,20250722-2/000121-2.npy
20250722-2,1,122,0,60,20250722-2/000122-0.npy
20250722-2,1,122,1,80,20250722-2/000122-1.npy
20250722-2,1,122,2,100,20250722-2/000122-2.npy
20250722-2,1,123,0,60,20250722-2/000123-0.npy
20250722-2,1,123,1,80,20250722-2/000123-1.npy
20250722-2,1,123,2,100,20250722-2/000123-2.npy
20250722-2,1,124,0,60,20250722-2/000124-0.npy
20250722-2,1,124,1,80,20250722-2/000124-1.npy
20250722-2,1,124,2,100,20250722-2/000124-2.npy
20250722-2,1,125,0,60,20250722-2/000125-0.npy
20250722-2,1,125,1,80,20250722-2/000125-1.npy
20250722-2,1,125,2,100,20250722-2/000125-2.npy
20250722-2,1,126,0,60,20250722-2/000126-0.npy
20250722-2,1,126,1,80,20250722-2/000126-1.npy
20250722-2,1,126,2,100,20250722-2/000126-2.npy
20250722-2,1,127,0,60,20250722-2/000127-0.npy
20250722-2,1,127,1,80,20250722-2/000127-1.npy
20250722-2,1,127,2,100,20250722-2/000127-2.npy
20250722-2,1,128,0,60,20250722-2/000128-0.npy
20250722-2,1,128,1,80,20250722-2/000128-1.npy
20250722-2,1,128,2,100,20250722-2/000128-2.npy
20250722-2,1,129,0,60,20250722-2/000129-0.npy
20250722-2,1,129,1,80,20250722-2/000129-1.npy
20250722-2,1,129,2,100,20250722-2/000129-2.npy
20250722-2,1,130,0,60,20250722-2/000130-0.npy
20250722-2,1,130,1,80,20250722-2/000130-1.npy
20250722-2,1,130,2,100,20250722-2/000130-2.npy
20250722-2,1,131,0,60,20250722-2/000131-0.npy
20250722-2,1,131,1,80,20250722-2/000131-1.npy
20250722-2,1,131,2,100,20250722-2/000131-2.npy
20250722-2,1,132,0,60,20250722-2/000132-0.npy
20250722-2,1,132,1,80,20250722-2/000132-1.npy
20250722-2,1,132,2,100,20250722-2/000132-2.npy
20250722-2,1,133,0,60,20250722-2/000133-0.npy
20250722-2,1,133,1,80,20250722-2/000133-1.npy
20250722-2,1,133,2,100,20250722-2/000133-2.npy
20250722-2,1,134,0,60,20250722-2/000134-0.npy
20250722-2,1,134,1,80,20250722-2/000134-1.npy
20250722-2,1,134,2,100,20250722-2/000134-2.npy
20250722-2,1,135,0,60,20250722-2/000135-0.npy
20250722-2,1,135,1,80,20250722-2/000135-1.npy
20250722-2,1,135,2,100,20250722-2/000135-2.npy
20250722-2,1,136,0,60,20250722-2/000136-0.npy
20250722-2,1,136,1,80,20250722-2/000136-1.npy
20250722-2,1,136,2,100,20250722-2/000136-2.npy
20250722-2,1,137,0,60,20250722-2/000137-0.npy
20250722-2,1,137,1,80,20250722-2/000137-1.npy
20250722-2,1,137,2,100,20250722-2/000137-2.npy
20250722-2,1,138,0,60,20250722-2/000138-0.npy
20250722-2,1,138,1,80,20250722-2/000138-1.npy
20250722-2,1,138,2,100,20250722-2/000138-2.npy
20250722-2,1,139,0,60,20250722-2/000139-0.npy
20250722-2,1,139,1,80,20250722-2/000139-1.npy
20250722-2,1,139,2,100,20250722-2/000139-2.npy
20250722-2,1,140,0,60,20250722-2/000140-0.npy
20250722-2,1,140,1,80,20250722-2/000140-1.npy
20250722-2,1,140,2,100,20250722-2/000140-2.npy
20250722-2,1,141,0,60,20250722-2/000141-0.npy
20250722-2,1,141,1,80,20250722-2/000141-1.npy
20250722-2,1,141,2,100,20250722-2/000141-2.npy
20250722-2,1,142,0,60,20250722-2/000142-0.npy
20250722-2,1,142,1,80,20250722-2/000142-1.npy
20250722-2,1,142,2,100,20250722-2/000142-2.npy
20250722-2,1,143,0,60,20250722-2/000143-0.npy
20250722-2,1,143,1,80,20250722-2/000143-1.npy
20250722-2,1,143,2,100,20250722-2/000143-2.npy
20250722-2,1,144,0,60,20250722-2/000144-0.npy
20250722-2,1,144,1,80,20250722-2/000144-1.npy
20250722-2,1,144,2,100,20250722-2/000144-2.npy
20250722-2,1,145,0,60,20250722-2/000145-0.npy
20250722-2,1,145,1,80,20250722-2/000145-1.npy
20250722-2,1,145,2,100,20250722-2/000145-2.npy
20250722-2,1,146,0,60,20250722-2/000146-0.npy
20250722-2,1,146,1,80,20250722-2/000146-1.npy
20250722-2,1,146,2,100,20250722-2/000146-2.npy
20250722-2,1,147,0,60,20250722-2/000147-0.npy
20250722-2,1,147,1,80,20250722-2/000147-1.npy
20250722-2,1,147,2,100,20250722-2/000147-2.npy
20250722-2,1,148,0,60,20250722-2/000148-0.npy
20250722-2,1,148,1,80,20250722-2/000148-1.npy
20250722-2,1,148,2,100,20250722-2/000148-2.npy
20250722-2,1,149,0,60,20250722-2/000149-0.npy
20250722-2,1,149,1,80,20250722-2/000149-1.npy
20250722-2,1,149,2,100,20250722-2/000149-2.npy
20250722-2,1,150,0,60,20250722-2/000150-0.npy
20250722-2,1,150,1,80,20250722-2/000150-1.npy
20250722-2,1,150,2,100,20250722-2/000150-2.npy
20250722-2,1,151,0,60,20250722-2/000151-0.npy
20250722-2,1,151,1,80,20250722-2/000151-1.npy
20250722-2,1,151,2,100,20250722-2/000151-2.npy
20250722-2,1,152,0,60,20250722-2/000152-0.npy
20250722-2,1,152,1,80,20250722-2/000152-1.npy
20250722-2,1,152,2,100,20250722-2/000152-2.npy
20250722-2,1,153,0,60,20250722-2/000153-0.npy
20250722-2,1,153,1,80,20250722-2/000153-1.npy
20250722-2,1,153,2,100,20250722-2/000153-2.npy
20250722-2,1,154,0,60,20250722-2/000154-0.npy
20250722-2,1,154,1,80,20250722-2/000154-1.npy
20250722-2,1,154,2,100,20250722-2/000154-2.npy
20250722-2,1,155,0,60,20250722-2/000155-0.npy
20250722-2,1,155,1,80,20250722-2/000155-1.npy
20250722-2,1,155,2,100,20250722-2/000155-2.npy
20250722-2,1,156,0,60,20250722-2/000156-0.npy
20250722-2,1,156,1,80,20250722-2/000156-1.npy
20250722-2,1,156,2,100,20250722-2/000156-2.npy
20250722-2,2,157,0,120,20250722-2/000157-0.npy
20250722-2,2,157,1,140,20250722-2/000157-1.npy
20250722-2,2,157,2,160,20250722-2/000157-2.npy
20250722-2,2,158,0,120,20250722-2/000158-0.npy
20250722-2,2,158,1,140,20250722-2/000158-1.npy
20250722-2,2,158,2,160,20250722-2/000158-2.npy
20250722-2,2,159,0,120,20250722-2/000159-0.npy
20250722-2,2,159,1,140,20250722-2/000159-1.npy
20250722-2,2,159,2,160,20250722-2/000159-2.npy
20250722-2,2,160,0,120,20250722-2/000160-0.npy
20250722-2,2,160,1,140,20250722-2/000160-1.npy
20250722-2,2,160,2,160,20250722-2/000160-2.npy
20250722-2,2,161,0,120,20250722-2/000161-0.npy
20250722-2,2,161,1,140,20250722-2/000161-1.npy
20250722-2,2,161,2,160,20250722-2/000161-2.npy
20250722-2,2,162,0,120,20250722-2/000162-0.npy
20250722-2,2,162,1,140,20250722-2/000162-1.npy
20250722-2,2,162,2,160,20250722-2/000162-2.npy
20250722-2,2,163,0,120,20250722-2/000163-0.npy
20250722-2,2,163,1,140,20250722-2/000163-1.npy
20250722-2,2,163,2,160,20250722-2/000163-2.npy
20250722-2,2,164,0,120,20250722-2/000164-0.npy
20250722-2,2,164,1,140,20250722-2/000164-1.npy
20250722-2,2,164,2,160,20250722-2/000164-2.npy
20250722-2,2,165,0,120,20250722-2/000165-0.npy
